benchmark(enc),#input,#keys,#outputs,#gates,#iteration,cpu_time(sec),benchmark(iolts14),#keys,#gates,#iteration,cpu_time(sec)
apex2.bench,39,30,3,640,22,0.16,apex2_enc10,65,675,7,0.05
apex4.bench,10,266,19,5626,46,10.61,apex4_enc10,537,5897,38,1.41
c1355.bench,41,28,32,574,20,0.11,c1355_enc10,59,605,1,0.03
c1908.bench,33,52,25,932,25,0.16,c1908_enc10,91,971,4,0.03
c2670.bench,233,86,140,1279,21,0.86,c2670_enc10,143,1336,34,0.56
c3540.bench,50,88,22,1757,22,0.9,c3540_enc10,172,1841,22,0.39
c432.bench,36,12,7,172,4,0.02,c432_enc10,20,180,3,0.02
c499.bench,41,22,32,224,11,0.07,c499_enc10,24,226,1,0.05
c5315.bench,178,150,123,2457,25,0.75,c5315_enc10,249,2556,34,0.83
c7552.bench,207,202,108,3714,26,2.15,c7552_enc10,372,3884,39,1.16
c880.bench,60,24,26,407,11,0.06,c880_enc10,44,427,6,0.08
dalu.bench,75,108,16,2406,36,2.66,dalu_enc10,237,2535,21,0.38
des.bench,256,328,245,6801,29,2.9,des_enc10,673,7146,6,0.39
ex1010.bench,10,246,10,5312,53,189.34,ex1010_enc10,508,5574,47,1.69
ex5.bench,8,44,63,1099,5,0.09,ex5_enc10,106,1161,17,0.27
i4.bench,192,22,6,360,17,0.04,i4_enc10,53,391,15,0.05
i7.bench,199,66,67,1381,13,0.15,i7_enc10,151,1466,4,0.08
i8.bench,133,114,81,2578,18,0.87,i8_enc10,260,2724,9,0.41
i9.bench,88,52,63,1087,7,0.16,i9_enc10,112,1147,2,0.11
k2.bench,46,92,45,1907,28,0.61,k2_enc10,186,2001,3,0.11
seq.bench,41,186,35,3705,65,6.52,seq_enc10,356,3875,35,0.84
Total CPU time,,,,,,219.19,,,,,8.94
